x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,202.,0.0305175781,,,202.,-0.1668069363,202.,-0.0431640744,,,,,,,,
,,,,,,,,,,,,,,203.,0.0302734375,,,203.,-0.1668387055,203.,-0.0981878638,,,,,,,,
,,,,,,,,,,,,,,204.,0.0303955078,,,204.,-0.1665505767,204.,0.0450878143,,,,,,,,
,,,,,,,,,,,,,,205.,0.0306396484,,,205.,-0.1664583683,205.,0.1298433542,,,,,,,,
,,,,,,,,,,,,,,206.,0.0306396484,,,206.,-0.1666138768,206.,0.0411390662,,,,,,,,
,,,,,,,,,,,,,,207.,0.0303955078,,,207.,-0.1668683887,207.,-0.1020360589,,,,,,,,
,,,,,,,,,,,,,,208.,0.0302734375,,,208.,-0.166864574,208.,-0.1120830178,,,,,,,,
,,,,,,,,,,,,,,209.,0.0303955078,,,209.,-0.1665720344,209.,0.0237788558,,,,,,,,
,,,,,,,,,,,,,,210.,0.0305175781,,,210.,-0.1664369702,210.,0.1290794015,,,,,,,,
,,,,,,,,,,,,,,211.,0.0306396484,,,211.,-0.1667377353,211.,-0.0324416161,,,,,,,,
,,,,,,,,,,,,,,212.,0.0303955078,,,212.,-0.1669056416,212.,-0.1303762197,,,,,,,,
,,,,,,,,,,,,,,213.,0.0302734375,,,213.,-0.1667141914,213.,-0.0449217558,,,,,,,,
,,,,,,,,,,,,,,214.,0.0305175781,,,214.,-0.166492641,214.,0.1040000319,,,,,,,,
,,,,,,,,,,,,,,215.,0.0306396484,,,215.,-0.1665272713,215.,0.1076827049,,,,,,,,
,,,,,,,,,,,,,,216.,0.0305175781,,,216.,-0.1667712927,216.,-0.0402334929,,,,,,,,
,,,,,,,,,,,,,,217.,0.0303955078,,,217.,-0.1669023633,217.,-0.130081296,,,,,,,,
,,,,,,,,,,,,,,218.,0.0302734375,,,218.,-0.1667239666,218.,-0.0416358709,,,,,,,,
,,,,,,,,,,,,,,219.,0.0305175781,,,219.,-0.1664654016,219.,0.1019830704,,,,,,,,
,,,,,,,,,,,,,,220.,0.0306396484,,,220.,-0.1666802764,220.,0.0258654952,,,,,,,,
,,,,,,,,,,,,,,221.,0.0303955078,,,221.,-0.1668881774,221.,-0.1162047982,,,,,,,,
,,,,,,,,,,,,,,222.,0.0302734375,,,222.,-0.1668391824,222.,-0.0950800180,,,,,,,,
,,,,,,,,,,,,,,223.,0.0303955078,,,223.,-0.1665565372,223.,0.0579420924,,,,,,,,
